,Carter,,KalkerL,,KalkerS,,Shen,,Polanch,
,Media,Dispercion,Media,Dispercion,Media,Dispercion,Media,Dispercion,Media,Dispercion
1,"0,0001152843","6,66934036621708E-005","0,0074223057","0,0023562403","2,2186377469","0,0188251638","0,0068790001","9,98671745834537E-005","0,0067065859","8,79163764674763E-005"
2,"0,0001538974","4,27481130002203E-006","0,0132626686","4,5090590179365E-005","4,3924842722","0,0834062363","0,0135340031","0,0001140188","0,013230795","9,37941792107933E-005"
3,"0,0002190083","4,12183693093105E-006","0,0198285906","7,82999211197408E-005","6,6400505181","0,090018515","0,0201536913","6,84035179205899E-005","0,019812396","0,0001022084"
4,"0,0002859161","7,36809628520374E-006","0,0264037988","0,000075935","8,8018243287","0,1006825411","0,0267825157","0,0001365292","0,026296764","7,62315402636389E-005"
5,"0,0003470186","6,58062473827776E-006","0,0329762992","8,88046973654083E-005","10,9910271858","0,1162988207","0,0333995866","0,0001123394","0,0328634081","0,000083074"
6,"0,0004095044","9,12034510182678E-006","0,0395200849","0,0001005657","13,2327370391","0,1622504097","0,0400319056","0,0001675968","0,0393996844","0,000104896"
7,"0,0004746062","7,65271494671901E-006","0,0460814084","9,00122569548642E-005","15,4000793025","0,1911693108","0,0465696207","0,0001155186","0,0459174237","6,09248902690538E-005"
8,"0,0005407969","9,24240143129208E-006","0,0526540001","8,57183458086188E-005","17,6512374047","0,1681791095","0,05325039","0,0001034642","0,0524687123","0,0001040377"
9,"0,0005960151","7,44637355231941E-006","0,0591902053","0,000123564","19,8323142254","0,2780369895","0,0598349768","0,0001337011","0,0590679938","6,98808569731912E-005"
10,"0,0006624843","1,38175798598748E-005","0,0657750795","0,0001677024","22,0631869261","0,2008318859","0,0664332676","0,0001101782","0,0655730168","0,0001631626"
11,"0,0007296801","1,55781311902335E-005","0,0723981121","0,0002399638","24,2819056628","0,288459919","0,0730675027","0,0001285478","0,0721868641","0,0001270829"
12,"0,0007920822","2,04651285520465E-005","0,078967483","0,0001542972","26,4473324774","0,3198142143","0,0797505253","0,0001798965","0,0786117887","0,000178456"
13,"0,0008498976","0,000018753","0,0854654143","0,0002628221","28,7393552057","0,3616555068","0,0863183915","0,0002043884","0,0852259013","0,00021909"
14,"0,0009144834","1,61837385476543E-005","0,0920706125","0,0002693395","30,9325971172","0,3102000317","0,0929330008","0,0002008174","0,0917457733","0,0001989186"
15,"0,0009833232","1,78136803094095E-005","0,0986107639","0,0002445725","33,0098635078","0,4876052623","0,0996078375","0,0001839303","0,0983626049","0,000135113"
16,"0,001042914","1,13129281475585E-005","0,1051810978","0,0002923308","35,2551631416","0,3993635197","0,1060988975","0,0001797454","0,1048739761","0,0001494876"
17,"0,0011069831","1,22311731297947E-005","0,1117951853","0,000332136","37,5181910255","0,4420344748","0,1127741041","9,66023966305352E-005","0,1113137678","0,0001702942"
18,"0,0011659889","1,01091867702266E-005","0,1183203633","0,0003062595","39,5797710916","0,4842425729","0,1193419176","0,0003141577","0,1179156216","0,000247215"
19,"0,0012407132","0,000029587","0,1247259188","0,0004039126","41,9846662114","0,4429123499","0,1260876072","0,0002497348","0,124622092","0,0001642779"
20,"0,0012921974","1,71522381210593E-005","0,1313418477","0,0002914112","44,1093168691","0,4426500216","0,1325709197","0,0002246193","0,131082002","0,0002387088"
21,"0,001356142","2,51426373550795E-005","0,1379139869","0,0003708286","46,2608443949","0,579316991","0,1390940122","0,000263251","0,1375368999","0,0001003076"
22,"0,0014158808","2,58177451470207E-005","0,1445250256","0,0002996946","48,5227102963","0,5399890541","0,1459273077","0,0003736615","0,1440789905","0,0002273856"
23,"0,0015043888","3,70291606672845E-005","0,1511744967","0,0004609507","50,7319271641","0,6787518412","0,1524704755","0,0002995399","0,1507474895","0,0001334815"
24,"0,0015468068","2,04835018066168E-005","0,1576433645","0,0002360713","52,9323683205","0,605530635","0,1589503052","0,0002562345","0,1572086214","0,0002538016"
25,"0,0016190145","2,29134467439619E-005","0,1641346074","0,0002096618","55,1032099839","0,7361715879","0,1655158727","0,0004168638","0,1636224088","0,0001813296"
26,"0,001680497","5,54155675469089E-005","0,1706644064","0,0002784254","57,3368734364","0,741560532","0,1721490113","0,0003512702","0,170135016","0,000165216"
27,"0,0017470875","0,000035296","0,177176549","0,0003018299","59,5049510669","0,805449668","0,1789293868","0,0003874707","0,1767299937","0,000205767"
28,"0,0018147683","3,94785710853417E-005","0,1837881103","0,0003664685","61,8324926664","0,7603647332","0,1853539297","0,0003219857","0,1833620704","0,0001715039"
29,"0,0018565607","6,01712565679145E-005","0,1901790934","0,0003690998","63,966388801","0,8107761382","0,1921570234","0,0004323751","0,1897959251","0,0002321141"
30,"0,00191569","4,06196665723712E-005","0,1967886134","0,0002903479","66,2537446097","0,9185488261","0,1986090085","0,000280016","0,1962651305","0,00016948"
31,"0,0019882112","5,46304789849063E-005","0,2031870031","0,000442951","68,4269758984","0,8195660168","0,2052300001","0,0003627451","0,2029124859","0,0002413552"
32,"0,0020363857","4,41791252101835E-005","0,2101097177","0,0003906554","70,4149230103","0,8754208508","0,211858201","0,0004948896","0,2094397881","0,000362866"
33,"0,002116111","5,27678589393765E-005","0,216482696","0,0003391587","72,6829206785","1,1575579086","0,2185664176","0,0005424443","0,2161175926","0,0002511889"
34,"0,0021961894","4,77851975402819E-005","0,2233647994","0,0006508758","74,7091578151","1,1752284136","0,2250182863","0,00055847","0,222550677","0,0003074479"
35,"0,0022491008","3,89982601720897E-005","0,229726611","0,0004363488","76,9394582184","1,089807978","0,2318305445","0,000727565","0,2291053787","0,0004194414"
36,"0,0023032605","5,80451230386151E-005","0,2364577961","0,0006394532","79,0606177124","1,1519001084","0,2381550843","0,0004224126","0,2357797982","0,0002802786"
37,"0,0023864055","6,63522064863772E-005","0,2428785529","0,000575191","81,4846375139","0,9296550899","0,2450183106","0,0005025588","0,2422950788","0,0005310428"
38,"0,0024579163","6,98321431683575E-005","0,2495907904","0,0007827477","83,7363064717","0,9223234204","0,2516187953","0,0008579469","0,2489378028","0,0002699122"
39,"0,0024874979","3,55573205235073E-005","0,2559925035","0,0008503916","86,0312160599","0,9359905645","0,2585855109","0,0007623272","0,2555047129","0,0003595136"
