,Carter,,KalkerL,,KalkerS,,Shen,,Polanch,
,Media,Dispercion,Media,Dispercion,Media,Dispercion,Media,Dispercion,Media,Dispercion
1,"2,19E-006","3,69356474514715E-007","1,81E-006","6,85496605327854E-007","1,50E-006","5,39596722817991E-007","1,31E-006","4,80137108707212E-007","1,19E-006","5,02630497641305E-007"
2,"8,01E-006","3,003611520612E-006","3,28E-003","0,0002031136","1,12E+000","0,0144127804","3,42E-003","7,67690712347768E-005","3,22E-003","1,87859451293729E-005"
3,"1,01E-005","1,0495232912203E-006","6,98E-003","0,0017913896","2,23E+000","0,0267975493","6,67E-003","9,12771344328915E-005","6,39E-003","3,60896397691526E-005"
4,"1,25E-005","7,37429346063121E-007","9,59E-003","3,76814092326227E-005","3,36E+000","0,0235959076","9,94E-003","6,0549536808292E-005","9,48E-003","4,97925214154092E-005"
5,"1,53E-005","2,80179873379186E-006","1,27E-002","4,09711766738024E-005","4,45E+000","0,0352203135","1,31E-002","5,77902078631368E-005","1,28E-002","3,5462567495605E-005"
6,"1,71E-005","1,24369312394853E-006","1,60E-002","6,50694394453999E-005","5,56E+000","0,0357324748","1,62E-002","7,46822028028205E-005","1,59E-002","5,58052286592281E-005"
7,"2,11E-005","7,37617747613179E-006","1,91E-002","8,69788424727216E-005","6,72E+000","0,0275489108","1,95E-002","0,0001068487","1,91E-002","7,09311590176142E-005"
8,"2,16E-005","1,72366354773536E-006","2,21E-002","6,35065478651882E-005","7,85E+000","0,0469620914","2,27E-002","7,66542160510632E-005","2,22E-002","5,90475325360828E-005"
9,"2,25E-005","1,00053773816543E-006","2,50E-002","8,27032663957956E-005","8,94E+000","0,0713349212","2,60E-002","0,0001117145","2,53E-002","0,000054979"
10,"2,49E-005","1,69726195655156E-006","2,83E-002","7,37192962499532E-005","1,00E+001","0,0616843062","2,91E-002","0,0001072833","2,84E-002","8,41487408273303E-005"
11,"2,66E-005","2,35808175254227E-006","3,16E-002","7,08735736834749E-005","1,12E+001","0,0632494733","3,23E-002","0,0001123558","3,15E-002","9,58167327033135E-005"
12,"2,86E-005","0,000001332","3,48E-002","0,0001736786","1,23E+001","0,0678424255","3,55E-002","7,54683582084625E-005","3,45E-002","8,34993770144781E-005"
13,"3,02E-005","9,13419438247333E-007","3,82E-002","0,0002163738","1,34E+001","0,086669314","3,87E-002","0,0001180242","3,76E-002","8,9688549967817E-005"
14,"3,23E-005","1,61781446456902E-006","4,13E-002","0,0001610506","1,45E+001","0,0500754308","4,20E-002","8,17232365412768E-005","4,07E-002","9,17337184246112E-005"
15,"3,40E-005","1,23732887624287E-006","4,43E-002","0,0002774978","1,56E+001","0,0697612034","4,52E-002","0,000096583","4,38E-002","0,0001564306"
16,"3,66E-005","3,78319194273944E-006","4,73E-002","0,0001910828","1,68E+001","0,0743081185","4,83E-002","0,0001046487","4,70E-002","0,0002447394"
17,"3,99E-005","2,79864101404172E-006","5,05E-002","0,0001140633","1,79E+001","0,0884122274","5,15E-002","8,01449056889809E-005","5,01E-002","0,0002223211"
18,"4,00E-005","1,25557058068161E-006","5,36E-002","0,000171639","1,90E+001","0,0658182413","5,46E-002","0,0001389637","5,34E-002","0,000263305"
