1,0,0,0,0,0,0,0,0.001,0,0,0.023,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.53,0.511,0.51,0.513,0.51,0.512,0.511,0.511,0.512,0.512,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
2,0,0,0,0,0,0,0,0,0,0,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.025,0.026,0.026,1.074,1.022,1.019,1.025,1.02,1.019,1.025,1.023,1.02,1.022,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026
3,0,0,0,0,0,0,0,0,0,0.001,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.038,1.558,1.535,1.532,1.533,1.529,1.53,1.529,1.532,1.53,1.529,0.039,0.039,0.039,0.039,0.039,0.04,0.039,0.039,0.038,0.039,0.039,0.039,0.039,0.04,0.038,0.039,0.039,0.039,0.038,0.039
4,0,0,0,0,0.001,0,0,0.001,0.001,0,0.052,0.051,0.052,0.052,0.051,0.052,0.052,0.052,0.051,0.052,2.062,2.038,2.043,2.052,2.037,2.039,2.043,2.036,2.039,2.046,0.052,0.052,0.052,0.052,0.051,0.052,0.053,0.052,0.052,0.052,0.052,0.051,0.052,0.052,0.051,0.052,0.052,0.052,0.051,0.052
5,0,0,0,0,0,0.001,0,0,0.001,0,0.065,0.064,0.065,0.065,0.063,0.065,0.065,0.065,0.064,0.065,2.576,2.563,2.549,2.559,2.548,2.55,2.549,2.551,2.552,2.557,0.065,0.064,0.065,0.065,0.064,0.066,0.065,0.065,0.064,0.064,0.065,0.065,0.065,0.066,0.064,0.065,0.065,0.065,0.065,0.064
6,0,0.001,0,0,0,0,0,0.001,0,0.001,0.077,0.077,0.078,0.079,0.077,0.078,0.078,0.077,0.077,0.077,3.105,3.062,3.059,3.065,3.056,3.067,3.06,3.067,3.072,3.064,0.078,0.077,0.078,0.078,0.076,0.078,0.078,0.078,0.077,0.078,0.077,0.078,0.078,0.078,0.077,0.078,0.078,0.079,0.078,0.077
7,0,0,0.001,0.001,0,0,0,0,0,0,0.09,0.09,0.091,0.091,0.09,0.091,0.091,0.091,0.09,0.09,3.651,3.59,3.564,3.575,3.569,3.572,3.58,3.572,3.586,3.577,0.091,0.091,0.091,0.091,0.089,0.091,0.091,0.091,0.089,0.09,0.091,0.09,0.091,0.091,0.09,0.091,0.092,0.092,0.09,0.09
8,0.001,0.001,0,0,0,0.001,0,0,0,0,0.102,0.103,0.104,0.103,0.102,0.103,0.104,0.104,0.103,0.103,4.1,4.084,4.09,4.078,4.078,4.079,4.077,4.078,4.084,4.089,0.103,0.102,0.104,0.104,0.102,0.104,0.104,0.104,0.104,0.103,0.104,0.103,0.104,0.105,0.103,0.104,0.105,0.104,0.103,0.103
9,0.001,0,0.001,0,0.001,0.001,0,0.001,0.001,0,0.116,0.116,0.117,0.118,0.115,0.116,0.117,0.117,0.116,0.116,4.637,4.588,4.59,4.601,4.592,4.594,4.614,4.601,4.592,4.607,0.117,0.116,0.118,0.117,0.115,0.117,0.116,0.117,0.116,0.116,0.117,0.116,0.117,0.118,0.115,0.117,0.117,0.118,0.116,0.116
10,0,0.001,0.001,0,0.001,0,0.001,0,0.001,0,0.128,0.128,0.13,0.131,0.127,0.13,0.13,0.13,0.129,0.129,5.128,5.099,5.093,5.109,5.098,5.097,5.111,5.115,5.099,5.099,0.129,0.128,0.13,0.13,0.127,0.13,0.13,0.13,0.128,0.128,0.129,0.129,0.131,0.131,0.128,0.13,0.13,0.13,0.129,0.129
11,0,0.001,0,0.001,0.001,0,0.001,0,0,0,0.142,0.141,0.142,0.143,0.14,0.143,0.142,0.142,0.142,0.142,5.629,5.607,5.595,5.62,5.602,5.613,4.612,5.632,5.618,5.629,0.143,0.142,0.143,0.143,0.14,0.143,1.143,0.143,0.142,0.141,0.144,0.141,0.143,0.143,0.139,0.142,0.143,0.143,0.142,0.141
12,0,0,0.001,0,0,0.001,0.001,0,0.001,0,0.155,0.154,0.155,0.156,0.153,0.155,0.155,0.156,0.154,0.154,6.147,6.123,6.117,6.135,6.119,6.119,6.124,6.132,6.127,6.128,1.155,0.154,0.156,0.157,0.153,0.155,0.155,0.156,0.154,0.154,0.156,0.155,0.155,0.157,0.153,0.156,0.156,0.156,0.154,0.154
