,Carter,,KalkerL,,KalkerS,,Shen,,Polanch,
,Media,Dispercion,Media,Dispercion,Media,Dispercion,Media,Dispercion,Media,Dispercion
1,"0,0001","0,0003162278","0,014","0,0031622777","0,5132","0,0059777365","0,013",0,"0,013",0
2,0,0,"0,0259","0,0003162278","1,0269","0,016696307","0,026",0,"0,026",0
3,"0,0001","0,0003162278","0,0389","0,0003162278","1,5337","0,0087692645","0,039","0,0004714045","0,0389","0,0005676462"
4,"0,0003","0,0004830459","0,0517","0,0004830459","2,0435","0,0081000686","0,052","0,0004714045","0,0517","0,0004830459"
5,"0,0002","0,000421637","0,0646","0,0006992059","2,5554","0,0087838235","0,0647","0,0006749486","0,0649","0,0005676462"
6,"0,0003","0,0004830459","0,0775","0,0007071068","3,0677","0,0138888444","0,0776","0,0006992059","0,0778","0,0006324555"
7,"0,0002","0,000421637","0,0905","0,0005270463","3,5836","0,0249140746","0,0905","0,0008498366","0,0908","0,0007888106"
8,"0,0003","0,0004830459","0,1031","0,0007378648","4,0837","0,0074393847","0,1034","0,000843274","0,1038","0,0007888106"
9,"0,0006","0,0005163978","0,1164","0,000843274","4,6016","0,0149011558","0,1165","0,0008498366","0,1167","0,0009486833"
10,"0,0005","0,0005270463","0,1292","0,0012292726","5,1048","0,0107785796","0,129","0,0011547005","0,1296","0,0009660918"
11,"0,0004","0,0005163978","0,1419","0,000875595","5,5157","0,3177623326","0,2423","0,3164753984","0,1421","0,0014491377"
12,"0,0004","0,0005163978","0,1547","0,0009486833","6,1271","0,0090853973","0,2549","0,3162651665","0,1552","0,0012292726"
13,"0,0005","0,0005270463","0,1673","0,0013374935","6,6349","0,0164347193","0,1681","0,0014491377","0,1683","0,0014944341"
14,"0,0003","0,0004830459","0,0803","0,3156327155","7,2607","0,31013798","0,1807","0,0014944341","0,181","0,0014142136"
15,"0,0006","0,0005163978","0,193","0,0015634719","7,6569","0,0192898937","0,1935","0,0017159384","0,194","0,0016996732"
16,"0,0008","0,000421637","0,206","0,0019436506","8,1726","0,0325412559","0,2064","0,0017763883","0,2068","0,0014757296"
17,"0,0009","0,0003162278","0,2192","0,0016865481","8,682","0,038586123","0,2194","0,0013498971","0,2198","0,0016193277"
18,"0,0008","0,000421637","0,232","0,0012472191","9,185","0,0114987922","0,2323","0,0018287822","0,2326","0,0015055453"
19,"0,001",0,"0,2448","0,0014757296","9,6909","0,0116947282","0,245","0,0021081851","0,2454","0,0022211108"
20,"0,0008","0,000421637","0,2579","0,0021832697","10,2022","0,0125237552","0,2575","0,00195789","0,2579","0,0017919573"
21,"0,001",0,"0,27","0,0020548047","10,7122","0,012985462","0,2704","0,0020655911","0,271","0,0022607767"
22,"0,001",0,"0,2829","0,0021317703","11,2241","0,0185019518","0,2835","0,0021730675","0,2836","0,0020110804"
23,"0,0011","0,0003162278","0,2955","0,0023687784","11,7319","0,0188529396","0,2953","0,00312872","0,2964","0,0021705094"
24,"0,001",0,"0,3087","0,0024966644","12,246","0,025944385","0,3091","0,0021317703","0,3096","0,0021186998"
25,"0,0011","0,0003162278","0,3216","0,0023664319","12,7589","0,0223480051","0,3222","0,0026997942","0,3225","0,0027182511"
26,"0,0011","0,0003162278","0,3345","0,0025055494","13,2739","0,0332747819","0,335","0,002538591","0,3358","0,0024855136"
27,"0,0013","0,0004830459","0,3474","0,0024129281","13,781","0,0297694847","0,3486","0,0021705094","0,3487","0,0020027759"
28,"0,0011","0,0003162278","0,3605","0,0027182511","14,2833","0,0189446562","0,361","0,0024494897","0,3621","0,0021832697"
29,"0,0012","0,000421637","0,3746","0,0049486249","14,7831","0,0154664511","0,3742","0,0020976177","0,3745","0,0022730303"
30,"0,0017","0,0004830459","0,3861","0,0023309512","15,2964","0,0201008568","0,3865","0,002321398","0,3871","0,002726414"
31,"0,0015","0,0005270463","0,3992","0,0021499354","15,8032","0,0173576752","0,3993","0,002406011","0,4002","0,0021499354"
32,"0,0015","0,0005270463","0,4122","0,0028596814","16,3162","0,0247512065","0,4121","0,0020789955","0,4124","0,0021705094"
33,"0,0013","0,0004830459","0,4243","0,0029078438","16,8246","0,017385818","0,4262","0,0030110906","0,4264","0,002674987"
34,"0,0015","0,0005270463","0,4379","0,0018529256","17,3351","0,0186336017","0,438","0,0027888668","0,4387","0,002406011"
